Item,FABIO
"Abaca, manila hemp, raw",Abaca
"Agave fibres, raw, n.e.c.","Hard Fibres, Other"
"Almonds, in shell",Nuts and products
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Spices, Other"
Apples,Apples and products
Apricots,"Fruits, Other"
Areca nuts,Nuts and products
Artichokes,"Vegetables, Other"
Asparagus,"Vegetables, Other"
Avocados,"Fruits, Other"
"Bambara beans, dry",Beans
Bananas,Bananas
Barley,Barley and products
"Beans, dry",Beans
Blueberries,"Fruits, Other"
"Brazil nuts, in shell",Nuts and products
"Broad beans and horse beans, dry","Pulses, Other and products"
"Broad beans and horse beans, green","Pulses, Other and products"
Buckwheat,"Cereals, Other"
Cabbages,"Vegetables, Other"
Canary seed,"Cereals, Other"
Cantaloupes and other melons,"Fruits, Other"
Carrots and turnips,"Vegetables, Other"
"Cashew nuts, in shell",Nuts and products
Cashewapple,"Fruits, Other"
Cassava leaves,"Vegetables, other"
"Cassava, fresh",Cassava and products
Castor oil seeds,"Oilcrops Oil, Other"
Cauliflowers and broccoli,"Vegetables, Other"
Cereals n.e.c.,"Cereals, Other"
"Cereals, primary","Cereals, Other"
Cherries,"Fruits, Other"
"Chestnuts, in shell",Nuts and products
"Chick peas, dry","Pulses, Other and products"
Chicory roots,"Vegetables, other"
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Pimento
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Pimento
"Cinnamon and cinnamon-tree flowers, raw","Spices, Other"
"Citrus Fruit, Total","Citrus, Other"
"Cloves (whole stems), raw",Cloves
Cocoa beans,Cocoa Beans and products
"Coconuts, in shell",Coconuts - Incl Copra
"Coffee, green",Coffee and products
"Coir, raw","Hard Fibres, Other"
"Cow peas, dry","Pulses, Other and products"
Cranberries,"Fruits, Other"
Cucumbers and gherkins,"Vegetables, Other"
Currants,"Fruits, Other"
Dates,Dates
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Roots, Other"
Eggplants (aubergines),"Vegetables, Other"
"Fibre Crops, Fibre Equivalent",exclueded
Figs,"Fruits, Other"
"Flax, processed but not spun",excluded
Fonio,"Cereals, Other"
Fruit Primary,"Fruits, Other"
"Ginger, raw","Roots, Other"
Gooseberries,"Fruits, Other"
Grapes,Grapes and products (excl wine)
Green corn (maize),Maize and products
Green garlic,"Vegetables, other"
"Groundnuts, excluding shelled",Groundnuts (Shelled Eq)
"Hazelnuts, in shell",Nuts and products
Hempseed,"Oilcrops, Other"
Hop cones,Hops
Jojoba seeds,"Oilcrops, Other"
"Jute, raw or retted",Jute
Kapok fruit,"Oilcrops Oil, Other"
Karite nuts (sheanuts),Nuts and products
"Kenaf, and other textile bast fibres, raw or retted",Jute-Like Fibres
Kiwi fruit,"Fruits, Other"
Kola nuts,Nuts and products
Leeks and other alliaceous vegetables,"Vegetables, Other"
Lemons and limes,"Lemons, Limes and products"
"Lentils, dry","Pulses, Other and products"
Lettuce and chicory,"Vegetables, Other"
Linseed,"Oilcrops, Other"
Locust beans (carobs),"Vegetables, other"
Lupins,"Pulses, Other and products"
Maize (corn),Maize and products
"Mangoes, guavas and mangosteens","Fruits, Other"
Mat?leaves,excluded
Melonseed,"Oilcrops, Other"
Millet,Millet and products
Mixed grain,"Cereals, Other"
Mushrooms and truffles,"Vegetables, Other"
Mustard seed,Rape and Mustardseed
Natural rubber in primary forms,Rubber
"Nutmeg, mace, cardamoms, raw","Spices, Other"
Oats,Oats
Oil palm fruit,"Oil, palm fruit"
"Oilcrops, Cake Equivalent",excluded
"Oilcrops, Oil Equivalent",excluded
Okra,"Vegetables, Other"
Olives,Olives (including preserved)
